kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 65854 0 0 0 0 0 0 0 0 
_1.ptx 98 : 65854 38152902 0 0 0 0 0 0 0 
_1.ptx 99 : 65854 462298 0 0 0 0 0 0 0 
_1.ptx 100 : 65854 664653 0 0 0 0 0 0 0 
_1.ptx 101 : 65854 725764 0 0 0 0 0 0 0 
_1.ptx 105 : 399688 790291254 8332544 0 0 239977 72073 0 0 
_1.ptx 106 : 399688 2802957 0 0 0 0 0 0 0 
_1.ptx 108 : 399688 282378160 0 0 0 0 0 0 0 
_1.ptx 110 : 399688 4400329 0 0 0 0 0 0 0 
_1.ptx 111 : 399688 808776645 68736 0 0 398827 72073 0 0 
_1.ptx 112 : 399688 2401222 0 0 0 0 0 0 0 
_1.ptx 113 : 399688 3199237 0 0 0 0 0 0 0 
_1.ptx 114 : 399688 1621574 0 0 0 0 0 0 31080 
_1.ptx 116 : 129482 84425533 0 0 0 0 0 0 0 
_1.ptx 117 : 129482 1303355 0 0 0 0 0 0 0 
_1.ptx 118 : 129482 1427108 0 0 0 0 0 0 0 
_1.ptx 119 : 129482 157799699 487424 0 0 49443 49443 0 0 
_1.ptx 120 : 129482 1298556 0 0 0 0 0 0 0 
_1.ptx 121 : 129482 1301756 0 0 0 0 0 0 0 
_1.ptx 122 : 129482 1425884 0 0 0 0 0 0 0 
_1.ptx 123 : 129482 221370096 394432 0 0 129391 49443 0 0 
_1.ptx 125 : 129482 778226 0 0 0 0 0 0 0 
_1.ptx 127 : 129482 158443483 0 0 0 0 0 0 0 
_1.ptx 129 : 129482 1425765 0 0 0 0 0 0 0 
_1.ptx 130 : 129482 201573503 53984 0 0 129391 49443 0 0 
_1.ptx 132 : 129482 778605 0 0 0 0 0 0 0 
_1.ptx 133 : 129482 158810625 0 0 0 0 0 0 0 
_1.ptx 134 : 129482 120949431 32 0 0 49443 49443 0 0 
_1.ptx 135 : 129482 211512049 1586304 0 0 72049 49443 0 0 
_1.ptx 136 : 129482 167253607 2432 0 0 72049 49443 0 0 
_1.ptx 137 : 129482 1426434 0 0 0 0 0 0 0 
_1.ptx 140 : 399688 4002543 0 0 0 0 0 0 0 
_1.ptx 141 : 399688 4003705 0 0 0 0 0 0 0 
_1.ptx 142 : 399688 3201773 0 0 0 0 0 0 0 
_1.ptx 143 : 399688 2004052 0 0 0 0 0 0 29405 
_1.ptx 147 : 524288 3146912 0 0 0 0 0 0 0 
_1.ptx 66 : 524288 3145728 0 0 0 0 0 0 0 
_1.ptx 67 : 524288 6717792 0 0 0 0 0 0 0 
_1.ptx 68 : 524288 3148832 0 0 0 0 0 0 0 
_1.ptx 69 : 524288 5812800 0 0 0 0 0 0 0 
_1.ptx 70 : 524288 166947584 128 0 0 0 0 0 0 
_1.ptx 71 : 524288 4283680 0 0 0 0 0 0 0 
_1.ptx 72 : 524288 0 0 0 0 0 0 0 0 
_1.ptx 73 : 524288 3794816 0 0 0 0 0 0 0 
_1.ptx 74 : 524288 1573120 0 0 0 0 0 0 0 
_1.ptx 75 : 524288 5805280 0 0 0 0 0 0 0 
_1.ptx 76 : 524288 194643488 65536 0 0 16384 16384 0 0 
_1.ptx 77 : 524288 3151168 0 0 0 0 0 0 0 
_1.ptx 78 : 524288 4204384 0 0 0 0 0 0 0 
_1.ptx 79 : 524288 2756464 0 0 0 0 0 0 7643 
_1.ptx 81 : 65854 397666 0 0 0 0 0 0 0 
_1.ptx 82 : 65854 76372885 1184 0 0 7643 7643 0 0 
_1.ptx 84 : 65854 50739845 0 0 0 0 0 0 0 
_1.ptx 85 : 65854 396221 0 0 0 0 0 0 0 
_1.ptx 86 : 65854 726231 0 0 0 0 0 0 0 
_1.ptx 87 : 65854 71206859 64 0 0 7643 7643 0 0 
_1.ptx 89 : 65854 68934574 0 0 0 0 0 0 0 
_1.ptx 90 : 65854 668594 0 0 0 0 0 0 0 
_1.ptx 91 : 65854 728333 0 0 0 0 0 0 0 
_1.ptx 92 : 65854 687220645 1697536 0 0 13755 7643 0 0 
_1.ptx 93 : 65854 461274 0 0 0 0 0 0 0 
_1.ptx 94 : 65854 188511462 0 0 0 13755 7643 0 0 
_1.ptx 95 : 65854 724825 0 0 0 0 0 0 0 
_1.ptx 96 : 65854 527620 0 0 0 0 0 0 0 
