kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 200 : 1 6 0 0 0 0 0 0 0 
_1.ptx 201 : 1 7 0 0 0 0 0 0 0 
_1.ptx 202 : 1 7 0 0 0 0 0 0 0 
_1.ptx 203 : 1 11 0 0 0 0 0 0 0 
_1.ptx 204 : 1 7 0 0 0 0 0 0 0 
_1.ptx 206 : 1 6 0 0 0 0 0 0 0 
_1.ptx 207 : 1 7 0 0 0 0 0 0 0 
_1.ptx 208 : 1 7 0 0 0 0 0 0 0 
_1.ptx 209 : 1 11 0 0 0 0 0 0 0 
_1.ptx 210 : 1 7 0 0 0 0 0 0 0 
_1.ptx 212 : 1 6 0 0 0 0 0 0 0 
_1.ptx 213 : 1 7 0 0 0 0 0 0 0 
_1.ptx 214 : 1 7 0 0 0 0 0 0 0 
_1.ptx 215 : 1 11 0 0 0 0 0 0 0 
_1.ptx 216 : 1 6 0 0 0 0 0 0 0 
_1.ptx 218 : 4 40 0 0 0 0 0 0 0 
_1.ptx 219 : 4 28 0 0 0 0 0 0 0 
_1.ptx 220 : 4 24 0 0 0 0 0 0 0 
_1.ptx 221 : 4 32 0 0 0 0 0 0 0 
_1.ptx 222 : 4 44 0 0 0 0 0 0 0 
_1.ptx 223 : 4 28 0 0 0 0 0 0 0 
_1.ptx 224 : 4 32 0 0 0 0 0 0 0 
_1.ptx 225 : 4 28 0 0 0 0 0 0 0 
_1.ptx 226 : 4 32 0 0 0 0 0 0 0 
_1.ptx 227 : 4 28 0 0 0 0 0 0 0 
_1.ptx 228 : 4 32 0 0 0 0 0 0 0 
_1.ptx 229 : 4 24 0 0 0 0 0 0 0 
_1.ptx 230 : 4 32 0 0 0 0 0 0 0 
_1.ptx 231 : 4 12 0 0 0 0 0 0 1 
_1.ptx 233 : 2 12 0 0 0 0 0 0 0 
_1.ptx 234 : 2 10 0 0 0 0 0 0 0 
_1.ptx 235 : 2 12 0 0 0 0 0 0 0 
_1.ptx 236 : 2 10 0 0 0 0 0 0 0 
_1.ptx 237 : 2 12 0 0 0 0 0 0 0 
_1.ptx 239 : 2 12 0 0 0 0 0 0 0 
_1.ptx 240 : 2 14 0 0 0 0 0 0 0 
_1.ptx 241 : 2 14 0 0 0 0 0 0 0 
_1.ptx 242 : 2 22 0 0 0 0 0 0 0 
_1.ptx 243 : 2 14 0 0 0 0 0 0 0 
_1.ptx 245 : 2 12 0 0 0 0 0 0 0 
_1.ptx 246 : 2 14 0 0 0 0 0 0 0 
_1.ptx 247 : 2 14 0 0 0 0 0 0 0 
_1.ptx 248 : 2 22 0 0 0 0 0 0 0 
_1.ptx 249 : 2 14 0 0 0 0 0 0 0 
_1.ptx 251 : 2 12 0 0 0 0 0 0 0 
_1.ptx 252 : 2 14 0 0 0 0 0 0 0 
_1.ptx 253 : 2 14 0 0 0 0 0 0 0 
_1.ptx 254 : 2 22 0 0 0 0 0 0 0 
_1.ptx 255 : 2 12 0 0 0 0 0 0 0 
_1.ptx 257 : 2 16 0 0 0 0 0 0 0 
_1.ptx 258 : 2 14 0 0 0 0 0 0 0 
_1.ptx 259 : 2 20 0 0 0 0 0 0 0 
_1.ptx 260 : 2 14 0 0 0 0 0 0 0 
_1.ptx 261 : 2 12 0 0 0 0 0 0 0 
_1.ptx 262 : 2 16 0 0 0 0 0 0 0 
_1.ptx 263 : 2 22 0 0 0 0 0 0 0 
_1.ptx 264 : 2 14 0 0 0 0 0 0 0 
_1.ptx 265 : 2 16 0 0 0 0 0 0 0 
_1.ptx 266 : 2 14 0 0 0 0 0 0 0 
_1.ptx 267 : 2 16 0 0 0 0 0 0 0 
_1.ptx 268 : 2 12 0 0 0 0 0 0 0 
_1.ptx 269 : 2 16 0 0 0 0 0 0 0 
_1.ptx 270 : 2 0 0 0 0 0 0 0 0 
_1.ptx 272 : 2 12 0 0 0 0 0 0 0 
_1.ptx 273 : 2 10 0 0 0 0 0 0 0 
_1.ptx 274 : 2 12 0 0 0 0 0 0 0 
_1.ptx 275 : 2 10 0 0 0 0 0 0 0 
_1.ptx 276 : 2 12 0 0 0 0 0 0 0 
_1.ptx 278 : 2 12 0 0 0 0 0 0 0 
_1.ptx 279 : 2 14 0 0 0 0 0 0 0 
_1.ptx 80 : 18 3432 128 0 0 0 0 0 0 
_1.ptx 280 : 2 14 0 0 0 0 0 0 0 
_1.ptx 81 : 18 72 96 0 0 0 0 0 0 
_1.ptx 281 : 2 22 0 0 0 0 0 0 0 
_1.ptx 82 : 18 108 0 0 0 0 0 0 0 
_1.ptx 282 : 2 14 0 0 0 0 0 0 0 
_1.ptx 83 : 18 90 192 0 0 0 0 0 0 
_1.ptx 84 : 18 108 0 0 0 0 0 0 0 
_1.ptx 284 : 2 12 0 0 0 0 0 0 0 
_1.ptx 85 : 18 90 192 0 0 0 0 0 0 
_1.ptx 285 : 2 14 0 0 0 0 0 0 0 
_1.ptx 86 : 18 108 0 0 0 0 0 0 0 
_1.ptx 286 : 2 14 0 0 0 0 0 0 0 
_1.ptx 287 : 2 22 0 0 0 0 0 0 0 
_1.ptx 88 : 18 108 0 0 0 0 0 0 0 
_1.ptx 288 : 2 14 0 0 0 0 0 0 0 
_1.ptx 89 : 18 180 0 0 0 0 0 0 0 
_1.ptx 90 : 18 108 0 0 0 0 0 0 0 
_1.ptx 290 : 2 12 0 0 0 0 0 0 0 
_1.ptx 91 : 18 198 0 0 0 0 0 0 0 
_1.ptx 291 : 2 14 0 0 0 0 0 0 0 
_1.ptx 92 : 18 54 0 0 0 0 0 0 0 
_1.ptx 292 : 2 14 0 0 0 0 0 0 0 
_1.ptx 93 : 18 144 0 0 0 0 0 0 0 
_1.ptx 293 : 2 22 0 0 0 0 0 0 0 
_1.ptx 94 : 18 0 0 0 0 0 0 0 0 
_1.ptx 95 : 18 126 0 0 0 0 0 0 0 
_1.ptx 96 : 18 54 0 0 0 0 0 0 0 
_1.ptx 97 : 18 198 0 0 0 0 0 0 0 
_1.ptx 98 : 18 3432 128 0 0 3 3 0 0 
_1.ptx 99 : 18 108 0 0 0 0 0 0 0 
_1.ptx 299 : 8 48 0 0 0 0 0 0 0 
_1.ptx 100 : 18 144 0 0 0 0 0 0 0 
_1.ptx 300 : 8 24 0 0 0 0 0 0 0 
_1.ptx 101 : 18 72 0 0 0 0 0 0 3 
_1.ptx 301 : 8 47 32 0 0 6 6 0 0 
_1.ptx 302 : 8 32 0 0 0 6 6 0 0 
_1.ptx 103 : 6 36 0 0 0 0 0 0 0 
_1.ptx 303 : 8 32 0 0 0 6 6 0 0 
_1.ptx 104 : 6 30 0 0 0 3 3 0 0 
_1.ptx 304 : 8 88 0 0 0 0 0 0 0 
_1.ptx 106 : 6 18 0 0 0 0 0 0 0 
_1.ptx 107 : 6 36 0 0 0 0 0 0 0 
_1.ptx 307 : 20 200 0 0 0 0 0 0 0 
_1.ptx 108 : 6 66 0 0 0 0 0 0 0 
_1.ptx 308 : 20 200 0 0 0 0 0 0 0 
_1.ptx 109 : 6 30 32 0 0 3 3 0 0 
_1.ptx 309 : 20 160 0 0 0 0 0 0 0 
_1.ptx 310 : 20 84 0 0 0 0 0 0 2 
_1.ptx 111 : 6 18 0 0 0 0 0 0 0 
_1.ptx 112 : 6 60 0 0 0 0 0 0 0 
_1.ptx 113 : 6 66 0 0 0 0 0 0 0 
_1.ptx 114 : 6 1019 128 0 0 3 3 0 0 
_1.ptx 314 : 18 108 0 0 0 0 0 0 0 
_1.ptx 115 : 6 42 0 0 0 0 0 0 0 
_1.ptx 116 : 6 24 0 0 0 3 3 0 0 
_1.ptx 117 : 6 66 0 0 0 0 0 0 0 
_1.ptx 118 : 6 48 0 0 0 0 0 0 0 
_1.ptx 119 : 6 0 0 0 0 0 0 0 0 
_1.ptx 120 : 6 18 0 0 0 0 0 0 0 
_1.ptx 121 : 6 42 0 0 0 0 0 0 0 
_1.ptx 122 : 6 60 0 0 0 0 0 0 0 
_1.ptx 123 : 6 66 0 0 0 0 0 0 0 
_1.ptx 127 : 20 1075 128 0 0 11 11 0 0 
_1.ptx 128 : 20 140 0 0 0 0 0 0 0 
_1.ptx 129 : 20 220 0 0 0 0 0 0 0 
_1.ptx 130 : 20 950 0 0 0 11 11 0 0 
_1.ptx 131 : 20 120 0 0 0 0 0 0 0 
_1.ptx 132 : 20 160 0 0 0 0 0 0 0 
_1.ptx 133 : 20 72 0 0 0 0 0 0 2 
_1.ptx 135 : 8 24 0 0 0 0 0 0 0 
_1.ptx 136 : 8 80 0 0 0 0 0 0 0 
_1.ptx 137 : 8 88 0 0 0 0 0 0 0 
_1.ptx 138 : 8 1317 128 0 0 6 6 0 0 
_1.ptx 139 : 8 80 0 0 0 0 0 0 0 
_1.ptx 140 : 8 80 0 0 0 0 0 0 0 
_1.ptx 141 : 8 88 0 0 0 0 0 0 0 
_1.ptx 142 : 8 40 0 0 0 6 6 0 0 
_1.ptx 144 : 8 48 0 0 0 0 0 0 0 
_1.ptx 145 : 8 88 0 0 0 0 0 0 0 
_1.ptx 146 : 8 40 0 0 0 6 6 0 0 
_1.ptx 147 : 8 56 0 0 0 0 0 0 0 
_1.ptx 148 : 8 48 0 0 0 0 0 0 0 
_1.ptx 149 : 8 64 0 0 0 0 0 0 0 
_1.ptx 150 : 8 88 0 0 0 0 0 0 0 
_1.ptx 151 : 8 56 0 0 0 0 0 0 0 
